"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0027047,0.047872,-0.047872,6.3228e-05,0,1,0.073,0.5,0.073,0
0.0027017,0.048447,-0.048446,6.3698e-05,0,1,0.074,0.5,0.074,0
0.0026988,0.049021,-0.049021,6.4169e-05,0,1,0.075,0.5,0.075,0
0.0026959,0.049596,-0.049596,6.4639e-05,0,1,0.076,0.5,0.076,0
0.002693,0.050171,-0.05017,6.5109e-05,0,1,0.077,0.5,0.077,0
0.0026901,0.050745,-0.050745,6.5579e-05,0,1,0.078,0.5,0.078,0
0.0026866,0.05131,-0.05131,6.5987e-05,0,1,0.079,0.5,0.079,0
0.002683,0.051873,-0.051873,6.6386e-05,0,1,0.08,0.5,0.08,0
0.0026794,0.052436,-0.052436,6.6786e-05,0,1,0.081,0.5,0.081,0
0.0026758,0.052999,-0.052999,6.7185e-05,0,1,0.082,0.5,0.082,0
0.0026722,0.053562,-0.053562,6.7584e-05,0,1,0.083,0.5,0.083,0
0.0026686,0.054125,-0.054125,6.7984e-05,0,1,0.084,0.5,0.084,0
0.002665,0.054688,-0.054688,6.8383e-05,0,1,0.085,0.5,0.085,0
0.0026614,0.055251,-0.05525,6.8783e-05,0,1,0.086,0.5,0.086,0
0.002657,0.055804,-0.055803,6.9198e-05,0,1,0.087,0.5,0.087,0
0.0026527,0.056356,-0.056356,6.9613e-05,0,1,0.088,0.5,0.088,0
0.0026484,0.056909,-0.056908,7.0028e-05,0,1,0.089,0.5,0.089,0
0.002644,0.057462,-0.057461,7.0442e-05,0,1,0.09,0.5,0.09,0
0.0026397,0.058014,-0.058014,7.0857e-05,0,1,0.091,0.5,0.091,0
0.0026354,0.058567,-0.058567,7.1272e-05,0,1,0.092,0.5,0.092,0
0.002631,0.05912,-0.059119,7.1686e-05,0,1,0.093,0.5,0.093,0
0.0026265,0.05967,-0.05967,7.2133e-05,0,1,0.094,0.5,0.094,0
0.0026213,0.060214,-0.060213,7.2675e-05,0,1,0.095,0.5,0.095,0
0.0026161,0.060757,-0.060756,7.3216e-05,0,1,0.096,0.5,0.096,0
0.002611,0.0613,-0.0613,7.3758e-05,0,1,0.097,0.5,0.097,0
0.0026058,0.061844,-0.061843,7.43e-05,0,1,0.098,0.5,0.098,0
0.0026006,0.062387,-0.062387,7.4842e-05,0,1,0.099,0.5,0.099,0
0.0025955,0.062931,-0.06293,7.5384e-05,0,1,0.1,0.5,0.1,0
0.0025903,0.063474,-0.063473,7.5925e-05,0,1,0.101,0.5,0.101,0
0.0025847,0.064014,-0.064013,7.6582e-05,0,1,0.102,0.5,0.102,0
0.0025787,0.064549,-0.064548,7.7387e-05,0,1,0.103,0.5,0.103,0
0.0025726,0.065084,-0.065083,7.8192e-05,0,1,0.104,0.5,0.104,0
0.0025665,0.065619,-0.065619,7.8996e-05,0,1,0.105,0.5,0.105,0
0.0025604,0.066155,-0.066154,7.9801e-05,0,1,0.106,0.5,0.106,0
0.0025543,0.06669,-0.066689,8.0606e-05,0,1,0.107,0.5,0.107,0
0.0025482,0.067225,-0.067224,8.1411e-05,0,1,0.108,0.5,0.108,0
0.0025421,0.06776,-0.067759,8.2216e-05,0,1,0.109,0.5,0.109,0
0.0025354,0.068291,-0.06829,8.3284e-05,0,1,0.11,0.5,0.11,0
0.0025283,0.068818,-0.068818,8.4511e-05,0,1,0.111,0.5,0.111,0
0.0025212,0.069346,-0.069345,8.5738e-05,0,1,0.112,0.5,0.112,0
0.0025141,0.069874,-0.069873,8.6965e-05,0,1,0.113,0.5,0.113,0
0.002507,0.070402,-0.070401,8.8192e-05,0,1,0.114,0.5,0.114,0
0.0024999,0.07093,-0.070929,8.9419e-05,0,1,0.115,0.5,0.115,0
0.0024928,0.071458,-0.071457,9.0646e-05,0,1,0.116,0.5,0.116,0
0.0024857,0.071986,-0.071984,9.1872e-05,0,1,0.117,0.5,0.117,0
0.0024777,0.072508,-0.072507,9.359e-05,0,1,0.118,0.5,0.118,0
0.0024695,0.07303,-0.073028,9.5421e-05,0,1,0.119,0.5,0.119,0
0.0024613,0.073551,-0.07355,9.7252e-05,0,1,0.12,0.5,0.12,0
0.0024531,0.074072,-0.074071,9.9083e-05,0,1,0.121,0.5,0.121,0
0.0024448,0.074594,-0.074593,0.00010091,0,1,0.122,0.5,0.122,0
0.0024366,0.075115,-0.075114,0.00010275,0,1,0.123,0.5,0.123,0
0.0024284,0.075637,-0.075635,0.00010458,0,1,0.124,0.5,0.124,0
0.0024202,0.076158,-0.076157,0.00010641,0,1,0.125,0.5,0.125,0
0.0024108,0.076674,-0.076672,0.00010905,0,1,0.126,0.5,0.126,0
0.0024013,0.07719,-0.077188,0.00011169,0,1,0.127,0.5,0.127,0
0.0023919,0.077705,-0.077704,0.00011433,0,1,0.128,0.5,0.128,0
0.0023824,0.078221,-0.07822,0.00011697,0,1,0.129,0.5,0.129,0
0.002373,0.078737,-0.078735,0.00011961,0,1,0.13,0.5,0.13,0
0.0023635,0.079253,-0.079251,0.00012225,0,1,0.131,0.5,0.131,0
0.0023541,0.079768,-0.079767,0.00012489,0,1,0.132,0.5,0.132,0
0.0023444,0.080283,-0.080282,0.00012772,0,1,0.133,0.5,0.133,0
0.0023336,0.080794,-0.080793,0.0001314,0,1,0.134,0.5,0.134,0
0.0023229,0.081305,-0.081303,0.00013507,0,1,0.135,0.5,0.135,0
0.0023121,0.081816,-0.081814,0.00013874,0,1,0.136,0.5,0.136,0
0.0023013,0.082327,-0.082325,0.00014242,0,1,0.137,0.5,0.137,0
0.0022905,0.082838,-0.082836,0.00014609,0,1,0.138,0.5,0.138,0
0.0022798,0.083349,-0.083347,0.00014976,0,1,0.139,0.5,0.139,0
0.002269,0.083859,-0.083858,0.00015344,0,1,0.14,0.5,0.14,0
0.0022577,0.084369,-0.084367,0.00015759,0,1,0.141,0.5,0.141,0
0.0022454,0.084875,-0.084874,0.00016255,0,1,0.142,0.5,0.142,0
0.0022332,0.085382,-0.08538,0.0001675,0,1,0.143,0.5,0.143,0
0.002221,0.085889,-0.085887,0.00017245,0,1,0.144,0.5,0.144,0
0.0022088,0.086395,-0.086393,0.00017741,0,1,0.145,0.5,0.145,0
0.0021965,0.086902,-0.0869,0.00018236,0,1,0.146,0.5,0.146,0
0.0021843,0.087409,-0.087407,0.00018732,0,1,0.147,0.5,0.147,0
0.0021721,0.087915,-0.087913,0.00019227,0,1,0.148,0.5,0.148,0
0.002159,0.08842,-0.088418,0.00019809,0,1,0.149,0.5,0.149,0
0.0021452,0.088923,-0.088921,0.00020459,0,1,0.15,0.5,0.15,0
0.0021313,0.089426,-0.089424,0.00021109,0,1,0.151,0.5,0.151,0
0.0021175,0.089929,-0.089927,0.00021759,0,1,0.152,0.5,0.152,0
0.0021037,0.090432,-0.09043,0.00022409,0,1,0.153,0.5,0.153,0
0.0020899,0.090935,-0.090933,0.00023059,0,1,0.154,0.5,0.154,0
0.0020761,0.091438,-0.091436,0.00023709,0,1,0.155,0.5,0.155,0
0.0020623,0.091941,-0.091939,0.00024359,0,1,0.156,0.5,0.156,0
0.0020472,0.092442,-0.092439,0.00025146,0,1,0.157,0.5,0.157,0
0.0020317,0.092942,-0.092939,0.00025979,0,1,0.158,0.5,0.158,0
0.0020162,0.093442,-0.093439,0.00026812,0,1,0.159,0.5,0.159,0
0.0020007,0.093942,-0.093939,0.00027645,0,1,0.16,0.5,0.16,0
0.0019852,0.094442,-0.094439,0.00028478,0,1,0.161,0.5,0.161,0
0.0019697,0.094941,-0.094939,0.00029311,0,1,0.162,0.5,0.162,0
0.0019542,0.095441,-0.095439,0.00030144,0,1,0.163,0.5,0.163,0
0.0019387,0.095941,-0.095938,0.00030976,0,1,0.164,0.5,0.164,0
0.0019214,0.096439,-0.096436,0.00032009,0,1,0.165,0.5,0.165,0
0.0019041,0.096936,-0.096933,0.00033055,0,1,0.166,0.5,0.166,0
