"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0024173,0.2727,-0.1275,-0.24103,0,1,0.837,0.837,0.5,0
-0.0023588,0.27184,-0.12643,-0.24062,0,1,0.838,0.838,0.5,0
-0.0023003,0.27098,-0.12535,-0.2402,0,1,0.839,0.839,0.5,0
-0.0022418,0.27012,-0.12428,-0.23979,0,1,0.84,0.84,0.5,0
-0.0021833,0.26926,-0.12321,-0.23938,0,1,0.841,0.841,0.5,0
-0.0021247,0.2684,-0.12213,-0.23897,0,1,0.842,0.842,0.5,0
-0.0020662,0.26753,-0.12106,-0.23855,0,1,0.843,0.843,0.5,0
-0.002011,0.26665,-0.11998,-0.23811,0,1,0.844,0.844,0.5,0
-0.0019659,0.26568,-0.11889,-0.23756,0,1,0.845,0.845,0.5,0
-0.0019207,0.26471,-0.1178,-0.23702,0,1,0.846,0.846,0.5,0
-0.0018755,0.26374,-0.11671,-0.23647,0,1,0.847,0.847,0.5,0
-0.0018304,0.26277,-0.11562,-0.23592,0,1,0.848,0.848,0.5,0
-0.0017852,0.2618,-0.11453,-0.23538,0,1,0.849,0.849,0.5,0
-0.0017401,0.26083,-0.11344,-0.23483,0,1,0.85,0.85,0.5,0
-0.0016949,0.25985,-0.11235,-0.23429,0,1,0.851,0.851,0.5,0
-0.0016557,0.25884,-0.11126,-0.23369,0,1,0.852,0.852,0.5,0
-0.0016243,0.25776,-0.11016,-0.23301,0,1,0.853,0.853,0.5,0
-0.0015928,0.25668,-0.10905,-0.23233,0,1,0.854,0.854,0.5,0
-0.0015614,0.2556,-0.10795,-0.23165,0,1,0.855,0.855,0.5,0
-0.0015299,0.25452,-0.10685,-0.23097,0,1,0.856,0.856,0.5,0
-0.0014985,0.25344,-0.10575,-0.23029,0,1,0.857,0.857,0.5,0
-0.0014671,0.25236,-0.10465,-0.22962,0,1,0.858,0.858,0.5,0
-0.0014356,0.25129,-0.10355,-0.22894,0,1,0.859,0.859,0.5,0
-0.0014129,0.25014,-0.10245,-0.22818,0,1,0.86,0.86,0.5,0
-0.0013953,0.24895,-0.10134,-0.22736,0,1,0.861,0.861,0.5,0
-0.0013778,0.24777,-0.10024,-0.22655,0,1,0.862,0.862,0.5,0
-0.0013603,0.24658,-0.099135,-0.22574,0,1,0.863,0.863,0.5,0
-0.0013427,0.24539,-0.09803,-0.22493,0,1,0.864,0.864,0.5,0
-0.0013252,0.24421,-0.096926,-0.22412,0,1,0.865,0.865,0.5,0
-0.0013077,0.24302,-0.095821,-0.22331,0,1,0.866,0.866,0.5,0
-0.0012902,0.24183,-0.094717,-0.2225,0,1,0.867,0.867,0.5,0
-0.001284,0.24056,-0.093615,-0.22158,0,1,0.868,0.868,0.5,0
-0.0012804,0.23927,-0.092514,-0.22063,0,1,0.869,0.869,0.5,0
-0.0012769,0.23798,-0.091413,-0.21969,0,1,0.87,0.87,0.5,0
-0.0012733,0.23669,-0.090312,-0.21875,0,1,0.871,0.871,0.5,0
-0.0012698,0.23539,-0.089211,-0.21781,0,1,0.872,0.872,0.5,0
-0.0012662,0.2341,-0.08811,-0.21686,0,1,0.873,0.873,0.5,0
-0.0012626,0.23281,-0.087009,-0.21592,0,1,0.874,0.874,0.5,0
-0.0012591,0.23152,-0.085908,-0.21498,0,1,0.875,0.875,0.5,0
-0.0012694,0.23013,-0.084818,-0.2139,0,1,0.876,0.876,0.5,0
-0.0012797,0.22873,-0.083727,-0.21283,0,1,0.877,0.877,0.5,0
-0.0012901,0.22734,-0.082637,-0.21176,0,1,0.878,0.878,0.5,0
-0.0013004,0.22594,-0.081547,-0.21069,0,1,0.879,0.879,0.5,0
-0.0013107,0.22455,-0.080457,-0.20961,0,1,0.88,0.88,0.5,0
-0.001321,0.22316,-0.079367,-0.20854,0,1,0.881,0.881,0.5,0
-0.0013313,0.22176,-0.078277,-0.20747,0,1,0.882,0.882,0.5,0
-0.0013442,0.22035,-0.07719,-0.20637,0,1,0.883,0.883,0.5,0
-0.0013682,0.21886,-0.076119,-0.20517,0,1,0.884,0.884,0.5,0
-0.0013921,0.21737,-0.075047,-0.20398,0,1,0.885,0.885,0.5,0
-0.0014161,0.21588,-0.073976,-0.20278,0,1,0.886,0.886,0.5,0
-0.00144,0.21438,-0.072904,-0.20158,0,1,0.887,0.887,0.5,0
-0.001464,0.21289,-0.071833,-0.20038,0,1,0.888,0.888,0.5,0
-0.0014879,0.2114,-0.070762,-0.19918,0,1,0.889,0.889,0.5,0
-0.0015119,0.20991,-0.06969,-0.19799,0,1,0.89,0.89,0.5,0
-0.0015408,0.20838,-0.068629,-0.19674,0,1,0.891,0.891,0.5,0
-0.001578,0.2068,-0.067584,-0.19542,0,1,0.892,0.892,0.5,0
-0.0016152,0.20522,-0.066539,-0.1941,0,1,0.893,0.893,0.5,0
-0.0016524,0.20363,-0.065495,-0.19279,0,1,0.894,0.894,0.5,0
-0.0016896,0.20205,-0.06445,-0.19147,0,1,0.895,0.895,0.5,0
-0.0017268,0.20046,-0.063405,-0.19015,0,1,0.896,0.896,0.5,0
-0.001764,0.19888,-0.062361,-0.18883,0,1,0.897,0.897,0.5,0
-0.0018012,0.1973,-0.061316,-0.18751,0,1,0.898,0.898,0.5,0
-0.0018455,0.19566,-0.060291,-0.18613,0,1,0.899,0.899,0.5,0
-0.0018954,0.19399,-0.059281,-0.18469,0,1,0.9,0.9,0.5,0
-0.0019454,0.19232,-0.058271,-0.18326,0,1,0.901,0.901,0.5,0
-0.0019953,0.19065,-0.057261,-0.18183,0,1,0.902,0.902,0.5,0
-0.0020452,0.18899,-0.056251,-0.1804,0,1,0.903,0.903,0.5,0
-0.0020951,0.18732,-0.055241,-0.17896,0,1,0.904,0.904,0.5,0
-0.002145,0.18565,-0.054231,-0.17753,0,1,0.905,0.905,0.5,0
-0.0021949,0.18398,-0.053221,-0.1761,0,1,0.906,0.906,0.5,0
-0.0022539,0.18225,-0.052243,-0.17458,0,1,0.907,0.907,0.5,0
-0.0023159,0.1805,-0.051276,-0.17304,0,1,0.908,0.908,0.5,0
